Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck
,550,358,65.1,7.2,3697,25,15,90,188,34.2,48,11,71,36
49ers,,,,,,,,,,,,,,
,582,363,62.4,6.6,3588,14,21,74.4,183,31.4,44,5,59T,34
Bears,,,,,,,,,,,,,,
,514,326,63.4,7.1,3469,21,16,85.2,170,33.1,47,10,54,27
Bengals,,,,,,,,,,,,,,
,473,294,62.2,6.9,3072,28,11,92.6,179,37.8,38,4,52T,27
Bills,,,,,,,,,,,,,,
,502,297,59.2,7.8,3780,26,10,93,184,36.7,62,12,73T,23
Broncos,,,,,,,,,,,,,,
,507,309,60.9,7.3,3531,26,19,84.8,195,38.5,49,8,78T,29
Browns,,,,,,,,,,,,,,
,521,307,58.9,6.4,3216,23,19,77.6,171,32.8,37,9,65T,26
Buccaneers,,,,,,,,,,,,,,
,533,324,60.8,7.3,3654,22,17,83.5,178,33.4,55,7,70,33
Cardinals,,,,,,,,,,,,,,
,488,285,58.4,6.4,2845,18,16,76.2,153,31.4,36,5,71T,47
Chargers,,,,,,,,,,,,,,
,581,319,54.9,6.5,3519,23,14,78.1,186,32,44,10,87T,39
Chiefs,,,,,,,,,,,,,,
,535,356,66.5,6.8,3433,22,10,91.7,190,35.5,40,4,61,30
Colts,,,,,,,,,,,,,,
,540,348,64.4,7.7,3894,33,20,92.8,200,37,57,13,91T,35
Cowboys,,,,,,,,,,,,,,
,502,288,57.4,7.1,3348,22,11,85,166,33.1,50,11,86T,39
Dolphins,,,,,,,,,,,,,,
,536,309,57.6,7,3469,31,23,80.8,185,34.5,54,9,80T,39
Eagles,,,,,,,,,,,,,,
,560,364,65,6.9,3625,23,22,82.2,183,32.7,38,6,83T,31
Falcons,,,,,,,,,,,,,,
,539,308,57.1,6.8,3352,24,16,80.5,159,29.5,44,10,87T,46
Giants,,,,,,,,,,,,,,
,506,329,65,8.3,4004,28,13,98.5,197,38.9,58,13,67T,26
Jaguars,,,,,,,,,,,,,,
,531,269,50.7,6.5,3210,24,12,77.1,169,31.8,48,5,50,40
Jets,,,,,,,,,,,,,,
,518,330,63.7,7.3,3498,23,14,89.2,187,36.1,43,9,89T,44
Lions,,,,,,,,,,,,,,
,527,296,56.2,6.5,3107,16,24,67.2,163,30.9,44,8,85T,47
Packers,,,,,,,,,,,,,,
,526,326,62,6.9,3393,19,17,81,176,33.5,45,7,56T,31
Panthers,,,,,,,,,,,,,,
,611,388,63.5,7.1,4136,25,25,81.2,226,37,55,4,66T,36
Patriots,,,,,,,,,,,,,,
,470,249,53,7.1,3027,29,12,85.6,150,31.9,51,7,57T,47
Raiders,,,,,,,,,,,,,,
,570,328,57.5,6.8,3578,21,14,80.4,191,33.5,51,5,65,43
Rams,,,,,,,,,,,,,,
,596,349,58.6,6.4,3599,22,19,76.4,187,31.4,52,5,88T,27
Ravens,,,,,,,,,,,,,,
Redskins,578,367,63.5,7.5,4187,23,14,89.6,207,35.8,57,10,92T,29
,494,306,61.9,6.8,3103,13,9,83.2,150,30.4,42,7,68,33
Saints,,,,,,,,,,,,,,
,585,339,57.9,7.2,3994,31,12,89.7,206,35.2,60,11,69T,37
Seahawks,,,,,,,,,,,,,,
,593,363,61.2,6.3,3425,15,21,73.1,182,30.7,35,7,67,48
Steelers,,,,,,,,,,,,,,
,547,354,64.7,8.2,4280,33,13,100.5,211,38.6,56,18,73T,30
Texans,,,,,,,,,,,,,,
,625,410,65.6,6.9,4032,23,17,86.4,214,34.2,45,10,75T,40
Titans,,,,,,,,,,,,,,
,529,333,62.9,6.7,3367,25,15,86.4,178,33.6,39,7,67T,31
Vikings,,,,,,,,,,,,,,
