Team,Rsh TD,Rec TD,Tot TD,2-PT
"Redskins
            
          

                  

            Redskins",9,18,28,1
"Buccaneers
            
          

                  

            Buccaneers",15,33,54,5
"Seahawks
            
          

                  

            Seahawks",15,31,49,1
"49ers
            
          

                  

            49ers",23,28,56,2
"Chargers
            
          

                  

            Chargers",12,24,37,1
"Steelers
            
          

                  

            Steelers",7,18,29,0
"Cardinals
            
          

                  

            Cardinals",18,20,38,3
"Eagles
            
          

                  

            Eagles",16,27,46,4
"Jets
            
          

                  

            Jets",6,19,31,3
"Giants
            
          

                  

            Giants",11,30,44,2
"Saints
            
          

                  

            Saints",12,36,52,0
"Patriots
            
          

                  

            Patriots",17,25,49,2
"Vikings
            
          

                  

            Vikings",19,26,47,1
"Dolphins
            
          

                  

            Dolphins",10,22,34,1
"Raiders
            
          

                  

            Raiders",13,22,37,0
"Rams
            
          

                  

            Rams",20,22,46,1
"Chiefs
            
          

                  

            Chiefs",16,30,50,1
"Jaguars
            
          

                  

            Jaguars",3,24,29,4
"Colts
            
          

                  

            Colts",17,22,42,2
"Texans
            
          

                  

            Texans",17,27,46,1
"Titans
            
          

                  

            Titans",21,29,54,1
"Packers
            
          

                  

            Packers",18,26,44,3
"Lions
            
          

                  

            Lions",7,28,38,0
"Broncos
            
          

                  

            Broncos",11,16,28,1
"Cowboys
            
          

                  

            Cowboys",18,30,49,2
"Browns
            
          

                  

            Browns",15,22,38,1
"Bengals
            
          

                  

            Bengals",9,18,28,2
"Bears
            
          

                  

            Bears",8,20,30,1
"Panthers
            
          

                  

            Panthers",20,17,38,1
"Bills
            
          

                  

            Bills",13,21,35,3
"Ravens
            
          

                  

            Ravens",21,37,64,2
"Falcons
            
          

                  

            Falcons",10,29,42,2
