Team,Rsh TD,Rec TD,Tot TD,2-PT
"Redskins
            
          

                  

            Redskins",9,21,33,2
"Buccaneers
            
          

                  

            Buccaneers",9,26,39,1
"Seahawks
            
          

                  

            Seahawks",13,14,33,2
"49ers
            
          

                  

            49ers",10,19,34,1
"Chargers
            
          

                  

            Chargers",18,30,51,2
"Steelers
            
          

                  

            Steelers",15,22,41,2
"Cardinals
            
          

                  

            Cardinals",9,10,31,1
"Eagles
            
          

                  

            Eagles",18,28,49,1
"Jets
            
          

                  

            Jets",14,20,39,1
"Giants
            
          

                  

            Giants",17,31,48,1
"Saints
            
          

                  

            Saints",9,33,44,0
"Patriots
            
          

                  

            Patriots",19,37,65,0
"Vikings
            
          

                  

            Vikings",16,14,33,1
"Dolphins
            
          

                  

            Dolphins",8,17,26,0
"Raiders
            
          

                  

            Raiders",19,18,44,0
"Rams
            
          

                  

            Rams",9,18,27,0
"Chiefs
            
          

                  

            Chiefs",13,27,44,0
"Jaguars
            
          

                  

            Jaguars",14,26,41,0
"Colts
            
          

                  

            Colts",13,33,51,0
"Texans
            
          

                  

            Texans",20,24,44,1
"Titans
            
          

                  

            Titans",13,24,40,1
"Packers
            
          

                  

            Packers",11,31,46,0
"Lions
            
          

                  

            Lions",11,26,41,2
"Broncos
            
          

                  

            Broncos",13,25,40,0
"Cowboys
            
          

                  

            Cowboys",10,29,46,2
"Browns
            
          

                  

            Browns",13,13,29,0
"Bengals
            
          

                  

            Bengals",8,26,36,2
"Bears
            
          

                  

            Bears",10,23,37,1
"Panthers
            
          

                  

            Panthers",7,9,17,0
"Bills
            
          

                  

            Bills",6,24,34,0
"Ravens
            
          

                  

            Ravens",11,25,40,0
"Falcons
            
          

                  

            Falcons",14,28,47,2
