Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
"Redskins
            
          

                  

            Redskins",401,1448,3.6,10,3,1,61T,66,16.5,10
"Buccaneers
            
          

                  

            Buccaneers",389,1450,3.7,8,5,0,36,76,19.5,7
"Seahawks
            
          

                  

            Seahawks",409,1629,4,4,12,0,33,85,20.8,7
"49ers
            
          

                  

            49ers",408,1662,4.1,15,8,1,61,88,21.6,7
"Chargers
            
          

                  

            Chargers",419,1595,3.8,10,10,1,87T,84,20,5
"Steelers
            
          

                  

            Steelers",437,1667,3.8,12,6,0,29T,96,22,4
"Cardinals
            
          

                  

            Cardinals",409,1386,3.4,6,5,0,33,66,16.1,9
"Eagles
            
          

                  

            Eagles",473,2115,4.5,9,19,3,71,108,22.8,11
"Jets
            
          

                  

            Jets",427,1702,4,13,14,5,75T,77,18,6
"Giants
            
          

                  

            Giants",394,1549,3.9,6,8,2,75T,66,16.8,5
"Saints
            
          

                  

            Saints",444,2070,4.7,23,17,5,74T,111,25,5
"Patriots
            
          

                  

            Patriots",448,1889,4.2,16,10,1,44,107,23.9,4
"Vikings
            
          

                  

            Vikings",501,1957,3.9,15,15,2,58T,100,20,4
"Dolphins
            
          

                  

            Dolphins",360,1388,3.9,4,10,4,69,66,18.3,5
"Raiders
            
          

                  

            Raiders",370,1554,4.2,13,10,4,52T,78,21.1,8
"Rams
            
          

                  

            Rams",454,1953,4.3,17,12,1,57T,97,21.4,8
"Chiefs
            
          

                  

            Chiefs",405,1903,4.7,12,15,4,70,95,23.5,3
"Jaguars
            
          

                  

            Jaguars",527,2262,4.3,18,13,5,90T,101,19.2,9
"Colts
            
          

                  

            Colts",451,1661,3.7,11,8,0,35,94,20.8,7
"Texans
            
          

                  

            Texans",448,1842,4.1,8,6,2,49T,86,19.2,4
"Titans
            
          

                  

            Titans",443,1833,4.1,18,12,3,75T,97,21.9,4
"Packers
            
          

                  

            Packers",386,1724,4.5,13,11,1,46T,99,25.6,4
"Lions
            
          

                  

            Lions",363,1221,3.4,10,7,0,34,58,16,6
"Broncos
            
          

                  

            Broncos",457,1852,4.1,8,8,1,40,92,20.1,5
"Cowboys
            
          

                  

            Cowboys",480,2170,4.5,18,12,2,70,127,26.5,1
"Browns
            
          

                  

            Browns",384,1714,4.5,11,7,1,59,97,25.3,5
"Bengals
            
          

                  

            Bengals",377,1366,3.6,6,8,0,25,72,19.1,4
"Bears
            
          

                  

            Bears",422,1788,4.2,13,10,5,53,93,22,10
"Panthers
            
          

                  

            Panthers",490,2102,4.3,15,10,5,69,121,24.7,10
"Bills
            
          

                  

            Bills",487,2017,4.1,12,17,1,48T,105,21.6,8
"Ravens
            
          

                  

            Ravens",460,1856,4,14,8,1,50,111,24.1,5
"Falcons
            
          

                  

            Falcons",430,1847,4.3,12,11,2,52,101,23.5,9
