Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
"Redskins
            
          

                  

            Redskins",379,1696,4.5,17,10,4,66,89,23.5,7
"Buccaneers
            
          

                  

            Buccaneers",453,1616,3.6,8,5,2,45,80,17.7,8
"Seahawks
            
          

                  

            Seahawks",403,1591,3.9,13,7,4,75T,85,21.1,6
"49ers
            
          

                  

            49ers",458,2019,4.4,15,11,2,47,116,25.3,8
"Chargers
            
          

                  

            Chargers",398,1510,3.8,10,9,3,48,90,22.6,6
"Steelers
            
          

                  

            Steelers",409,1760,4.3,13,5,2,60T,97,23.7,6
"Cardinals
            
          

                  

            Cardinals",399,1732,4.3,20,10,4,58T,97,24.3,11
"Eagles
            
          

                  

            Eagles",438,1813,4.1,16,7,0,30,114,26,9
"Jets
            
          

                  

            Jets",418,1802,4.3,10,11,0,35T,97,23.2,6
"Giants
            
          

                  

            Giants",398,1412,3.5,6,7,0,25,73,18.3,2
"Saints
            
          

                  

            Saints",404,1742,4.3,17,8,2,75T,105,26,2
"Patriots
            
          

                  

            Patriots",482,1872,3.9,19,8,3,44,109,22.6,8
"Vikings
            
          

                  

            Vikings",380,1205,3.2,9,6,0,36,66,17.4,3
"Dolphins
            
          

                  

            Dolphins",405,1824,4.5,14,12,5,62T,90,22.2,11
"Raiders
            
          

                  

            Raiders",434,1922,4.4,17,19,2,75T,98,22.6,8
"Rams
            
          

                  

            Rams",375,1252,3.3,9,6,0,30T,68,18.1,6
"Chiefs
            
          

                  

            Chiefs",412,1748,4.2,15,12,5,70T,86,20.9,5
"Jaguars
            
          

                  

            Jaguars",392,1631,4.2,8,7,3,57T,75,19.1,9
"Colts
            
          

                  

            Colts",409,1628,4,13,4,0,33,93,22.7,5
"Texans
            
          

                  

            Texans",456,1859,4.1,8,10,1,45,102,22.4,8
"Titans
            
          

                  

            Titans",476,2187,4.6,16,8,3,75T,115,24.2,10
"Packers
            
          

                  

            Packers",374,1701,4.5,11,13,2,61,91,24.3,5
"Lions
            
          

                  

            Lions",350,1310,3.7,9,6,1,42,76,21.7,2
"Broncos
            
          

                  

            Broncos",410,1484,3.6,11,4,1,64,76,18.5,5
"Cowboys
            
          

                  

            Cowboys",499,2396,4.8,24,17,3,60T,142,28.5,9
"Browns
            
          

                  

            Browns",350,1712,4.9,13,12,3,85T,83,23.7,12
"Bengals
            
          

                  

            Bengals",446,1769,4,17,6,3,74T,100,22.4,5
"Bears
            
          

                  

            Bears",380,1735,4.6,10,13,2,69,93,24.5,9
"Panthers
            
          

                  

            Panthers",453,1814,4,16,10,1,47,99,21.9,6
"Bills
            
          

                  

            Bills",492,2630,5.3,29,27,5,75T,146,29.7,11
"Ravens
            
          

                  

            Ravens",367,1463,4,10,8,1,41,79,21.5,4
"Falcons
            
          

                  

            Falcons",421,1928,4.6,20,15,4,75T,108,25.7,3
