Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
"Redskins
            
          

                  

            Redskins",346,4058,11.7,19,57,7,51,204,59,4
"Buccaneers
            
          

                  

            Buccaneers",365,3838,10.5,17,37,6,65T,180,49.3,7
"Seahawks
            
          

                  

            Seahawks",299,3444,11.5,15,51,9,61T,153,51.2,1
"49ers
            
          

                  

            49ers",277,3193,11.5,18,41,6,56T,150,54.2,3
"Chargers
            
          

                  

            Chargers",366,4624,12.6,27,69,8,58,234,63.9,4
"Steelers
            
          

                  

            Steelers",341,4333,12.7,21,60,10,95T,221,64.8,4
"Cardinals
            
          

                  

            Cardinals",307,3954,12.9,21,55,15,73T,175,57,4
"Eagles
            
          

                  

            Eagles",330,4276,13,22,64,10,73,197,59.7,3
"Jets
            
          

                  

            Jets",310,3542,11.4,26,41,3,74,173,55.8,3
"Giants
            
          

                  

            Giants",359,4933,13.7,29,67,18,99T,216,60.2,2
"Saints
            
          

                  

            Saints",472,5505,11.7,46,69,11,79T,280,59.3,3
"Patriots
            
          

                  

            Patriots",402,5257,13.1,39,72,14,99T,262,65.2,1
"Vikings
            
          

                  

            Vikings",286,3255,11.4,20,41,7,72,159,55.6,5
"Dolphins
            
          

                  

            Dolphins",280,3425,12.2,20,56,7,65T,166,59.3,3
"Raiders
            
          

                  

            Raiders",315,4119,13.1,20,63,14,78,186,59,4
"Rams
            
          

                  

            Rams",292,3258,11.2,9,37,3,68,159,54.5,5
"Chiefs
            
          

                  

            Chiefs",299,3288,11,13,39,7,52T,163,54.5,3
"Jaguars
            
          

                  

            Jaguars",240,2510,10.5,12,30,4,74T,122,50.8,3
"Colts
            
          

                  

            Colts",302,3223,10.7,14,32,6,87T,170,56.3,3
"Texans
            
          

                  

            Texans",288,3696,12.8,20,55,11,80T,176,61.1,1
"Titans
            
          

                  

            Titans",353,4113,11.7,22,51,14,80T,185,52.4,5
"Packers
            
          

                  

            Packers",376,5161,13.7,51,70,16,93T,230,61.2,1
"Lions
            
          

                  

            Lions",423,5071,12,41,65,16,73T,244,57.7,4
"Broncos
            
          

                  

            Broncos",217,2708,12.5,20,36,8,56T,130,59.9,6
"Cowboys
            
          

                  

            Cowboys",376,4453,11.8,33,58,11,77,219,58.2,5
"Browns
            
          

                  

            Browns",320,3300,10.3,16,32,6,76T,173,54.1,2
"Bengals
            
          

                  

            Bengals",308,3507,11.4,21,51,11,84,160,51.9,2
"Bears
            
          

                  

            Bears",268,3346,12.5,18,43,7,81,153,57.1,7
"Panthers
            
          

                  

            Panthers",312,4089,13.1,21,66,9,91T,175,56.1,6
"Bills
            
          

                  

            Bills",356,3857,10.8,24,48,8,60T,180,50.6,1
"Ravens
            
          

                  

            Ravens",314,3629,11.6,21,44,7,74T,181,57.6,1
"Falcons
            
          

                  

            Falcons",365,4365,12,29,56,10,80T,215,58.9,2
