Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
"Redskins
            
          

                  

            Redskins",291,3666,12.6,24,53,8,88T,171,58.8,4
"Buccaneers
            
          

                  

            Buccaneers",311,4144,13.3,27,57,16,95,188,60.5,0
"Seahawks
            
          

                  

            Seahawks",259,3234,12.5,27,45,11,67,153,59.1,3
"49ers
            
          

                  

            49ers",289,3551,12.3,23,54,8,57,172,59.5,5
"Chargers
            
          

                  

            Chargers",338,3606,10.7,26,41,3,80T,184,54.4,2
"Steelers
            
          

                  

            Steelers",354,4012,11.3,27,49,8,82T,202,57.1,12
"Cardinals
            
          

                  

            Cardinals",337,3383,10,11,36,3,53,168,49.9,2
"Eagles
            
          

                  

            Eagles",367,4075,11.1,18,51,6,77T,190,51.8,5
"Jets
            
          

                  

            Jets",272,3178,11.7,14,40,6,66,162,59.6,7
"Giants
            
          

                  

            Giants",323,3967,12.3,26,50,10,80T,187,57.9,0
"Saints
            
          

                  

            Saints",423,5187,12.3,43,66,13,80T,267,63.1,7
"Patriots
            
          

                  

            Patriots",402,4844,12,34,57,8,83T,256,63.7,5
"Vikings
            
          

                  

            Vikings",300,2935,9.8,18,28,3,65,163,54.3,3
"Dolphins
            
          

                  

            Dolphins",293,3425,11.7,13,42,3,80T,158,53.9,4
"Raiders
            
          

                  

            Raiders",376,4292,11.4,24,52,10,64T,200,53.2,6
"Rams
            
          

                  

            Rams",332,3783,11.4,22,43,8,80T,189,56.9,5
"Chiefs
            
          

                  

            Chiefs",273,2937,10.8,8,36,3,57,144,52.7,2
"Jaguars
            
          

                  

            Jaguars",328,3746,11.4,20,48,8,81T,157,47.9,3
"Colts
            
          

                  

            Colts",339,4374,12.9,23,65,11,70T,208,61.4,4
"Texans
            
          

                  

            Texans",354,4046,11.4,22,46,8,60T,205,57.9,0
"Titans
            
          

                  

            Titans",318,3577,11.2,17,42,7,71T,166,52.2,9
"Packers
            
          

                  

            Packers",374,4342,11.6,40,55,9,73,213,57,2
"Lions
            
          

                  

            Lions",445,5139,11.5,22,67,10,57,272,61.1,7
"Broncos
            
          

                  

            Broncos",402,4671,11.6,37,64,7,71T,232,57.7,4
"Cowboys
            
          

                  

            Cowboys",434,4992,11.5,29,55,9,85T,237,54.6,4
"Browns
            
          

                  

            Browns",328,3668,11.2,16,50,6,71T,185,56.4,5
"Bengals
            
          

                  

            Bengals",335,3807,11.4,28,39,14,73T,173,51.6,6
"Bears
            
          

                  

            Bears",287,3298,11.5,21,39,6,60T,163,56.8,3
"Panthers
            
          

                  

            Panthers",284,3927,13.8,19,58,11,82,171,60.2,4
"Bills
            
          

                  

            Bills",309,3430,11.1,24,44,7,68T,176,57,7
"Ravens
            
          

                  

            Ravens",334,3996,12,22,62,12,61T,182,54.5,0
"Falcons
            
          

                  

            Falcons",422,4719,11.2,32,46,10,80T,246,58.3,3
