Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
"Redskins
            
          

                  

            Redskins",364,4461,12.3,18,57,20,81T,186,51.1,6
"Buccaneers
            
          

                  

            Buccaneers",301,3623,12,21,51,9,56T,162,53.8,5
"Seahawks
            
          

                  

            Seahawks",287,3492,12.2,20,54,8,80T,160,55.7,3
"49ers
            
          

                  

            49ers",292,3407,11.7,20,49,5,80T,165,56.5,2
"Chargers
            
          

                  

            Chargers",380,4296,11.3,31,57,9,59,214,56.3,4
"Steelers
            
          

                  

            Steelers",411,4997,12.2,33,56,15,94T,243,59.1,5
"Cardinals
            
          

                  

            Cardinals",320,3990,12.5,21,58,11,81T,191,59.7,5
"Eagles
            
          

                  

            Eagles",384,4581,11.9,27,63,13,72,218,56.8,5
"Jets
            
          

                  

            Jets",287,3206,11.2,16,40,9,74T,154,53.7,3
"Giants
            
          

                  

            Giants",383,4470,11.7,30,53,10,80T,218,56.9,6
"Saints
            
          

                  

            Saints",456,4952,10.9,33,52,10,69T,258,56.6,8
"Patriots
            
          

                  

            Patriots",392,4291,10.9,34,46,8,69T,228,58.2,4
"Vikings
            
          

                  

            Vikings",322,3566,11.1,17,43,7,87T,171,53.1,3
"Dolphins
            
          

                  

            Dolphins",394,4066,10.3,27,41,4,50,226,57.4,7
"Raiders
            
          

                  

            Raiders",365,3456,9.5,22,30,7,77T,173,47.4,7
"Rams
            
          

                  

            Rams",327,3695,11.3,20,43,7,63T,189,57.8,1
"Chiefs
            
          

                  

            Chiefs",320,3428,10.7,18,43,3,70T,184,57.5,9
"Jaguars
            
          

                  

            Jaguars",325,3451,10.6,15,43,9,63T,154,47.4,2
"Colts
            
          

                  

            Colts",410,5062,12.3,42,78,15,80,251,61.2,6
"Texans
            
          

                  

            Texans",295,3460,11.7,22,49,9,76T,171,58,6
"Titans
            
          

                  

            Titans",299,3738,12.5,20,50,8,80T,159,53.2,4
"Packers
            
          

                  

            Packers",349,4447,12.7,38,59,15,80T,222,63.6,1
"Lions
            
          

                  

            Lions",365,4284,11.7,22,54,11,73T,210,57.5,3
"Broncos
            
          

                  

            Broncos",399,4779,12,40,67,11,86T,227,56.9,4
"Cowboys
            
          

                  

            Cowboys",328,4008,12.2,37,54,12,68T,205,62.5,4
"Browns
            
          

                  

            Browns",274,3678,13.4,12,56,11,81T,179,65.3,0
"Bengals
            
          

                  

            Bengals",323,3551,11,20,35,8,81T,164,50.8,7
"Bears
            
          

                  

            Bears",396,4035,10.2,30,41,8,74,194,49,3
"Panthers
            
          

                  

            Panthers",327,3828,11.7,23,43,4,51,199,60.9,3
"Bills
            
          

                  

            Bills",363,3856,10.6,23,52,8,84,186,51.2,8
"Ravens
            
          

                  

            Ravens",344,3986,11.6,27,50,7,80T,194,56.4,4
"Falcons
            
          

                  

            Falcons",418,4758,11.4,28,61,9,79,233,55.7,7
