Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
"Redskins
            
          

                  

            Redskins",355,4057,11.4,20,39,6,62T,198,55.8,5
"Buccaneers
            
          

                  

            Buccaneers",291,3181,10.9,22,39,7,85T,157,54,1
"Seahawks
            
          

                  

            Seahawks",267,3508,13.1,27,52,10,80T,160,59.9,4
"49ers
            
          

                  

            49ers",244,3210,13.2,21,46,10,64T,148,60.7,3
"Chargers
            
          

                  

            Chargers",378,4478,11.8,32,60,6,60T,230,60.8,4
"Steelers
            
          

                  

            Steelers",377,4306,11.4,28,61,10,67,207,54.9,3
"Cardinals
            
          

                  

            Cardinals",363,4291,11.8,24,49,9,91T,205,56.5,3
"Eagles
            
          

                  

            Eagles",310,4406,14.2,32,80,18,70,197,63.5,3
"Jets
            
          

                  

            Jets",266,3270,12.3,13,47,6,69T,154,57.9,1
"Giants
            
          

                  

            Giants",325,3875,11.9,18,54,7,70T,176,54.2,4
"Saints
            
          

                  

            Saints",446,5162,11.6,39,67,15,76T,244,54.7,1
"Patriots
            
          

                  

            Patriots",380,4343,11.4,25,49,8,81T,225,59.2,2
"Vikings
            
          

                  

            Vikings",325,3645,11.2,18,54,7,79T,173,53.2,3
"Dolphins
            
          

                  

            Dolphins",357,3966,11.1,24,47,11,67,205,57.4,0
"Raiders
            
          

                  

            Raiders",298,3629,12.2,17,48,8,73T,168,56.4,2
"Rams
            
          

                  

            Rams",301,3360,11.2,22,41,5,81T,165,54.8,3
"Chiefs
            
          

                  

            Chiefs",333,3561,10.7,24,45,7,71T,179,53.8,5
"Jaguars
            
          

                  

            Jaguars",349,3751,10.7,16,44,6,67T,176,50.4,6
"Colts
            
          

                  

            Colts",350,3952,11.3,23,45,10,73T,191,54.6,2
"Texans
            
          

                  

            Texans",371,4183,11.3,19,53,9,66,198,53.4,5
"Titans
            
          

                  

            Titans",328,3710,11.3,22,48,10,77T,172,52.4,4
"Packers
            
          

                  

            Packers",366,4538,12.4,25,65,11,83T,201,54.9,3
"Lions
            
          

                  

            Lions",371,4650,12.5,29,62,10,87,221,59.6,4
"Broncos
            
          

                  

            Broncos",461,5572,12.1,55,68,13,78T,293,63.6,4
"Cowboys
            
          

                  

            Cowboys",375,4226,11.3,33,48,7,82T,213,56.8,8
"Browns
            
          

                  

            Browns",379,4372,11.5,26,52,14,95T,200,52.8,2
"Bengals
            
          

                  

            Bengals",364,4318,11.9,33,57,15,82T,205,56.3,6
"Bears
            
          

                  

            Bears",373,4450,11.9,32,53,11,80T,215,57.6,5
"Panthers
            
          

                  

            Panthers",292,3379,11.6,24,33,7,79T,169,57.9,3
"Bills
            
          

                  

            Bills",299,3373,11.3,16,46,9,59T,149,49.8,5
"Ravens
            
          

                  

            Ravens",363,3914,10.8,19,45,14,74,189,52.1,1
"Falcons
            
          

                  

            Falcons",445,4541,10.2,26,44,9,81T,227,51,8
