Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
"Redskins
            
          

                  

            Redskins",349,4261,12.2,21,51,13,76,194,55.6,8
"Buccaneers
            
          

                  

            Buccaneers",306,3564,11.6,26,49,10,64,172,56.2,6
"Seahawks
            
          

                  

            Seahawks",324,3536,10.9,14,39,11,87T,159,49.1,3
"49ers
            
          

                  

            49ers",282,3613,12.8,19,53,10,66T,149,52.8,3
"Chargers
            
          

                  

            Chargers",359,4746,13.2,30,66,14,59T,236,65.7,5
"Steelers
            
          

                  

            Steelers",298,3890,13.1,22,62,11,56T,175,58.7,3
"Cardinals
            
          

                  

            Cardinals",285,3264,11.5,10,44,3,74T,154,54,4
"Eagles
            
          

                  

            Eagles",348,4215,12.1,28,61,15,91T,189,54.3,6
"Jets
            
          

                  

            Jets",288,3420,11.9,20,44,11,74T,171,59.4,3
"Giants
            
          

                  

            Giants",339,4002,11.8,31,57,7,92T,192,56.6,3
"Saints
            
          

                  

            Saints",450,4636,10.3,33,47,10,80T,236,52.4,2
"Patriots
            
          

                  

            Patriots",331,4022,12.2,37,54,10,79T,196,59.2,2
"Vikings
            
          

                  

            Vikings",305,3327,10.9,14,47,3,53T,159,52.1,3
"Dolphins
            
          

                  

            Dolphins",335,3755,11.2,17,44,4,57T,189,56.4,3
"Raiders
            
          

                  

            Raiders",279,3471,12.4,18,45,12,73T,159,57,4
"Rams
            
          

                  

            Rams",354,3512,9.9,18,36,4,49,179,50.6,2
"Chiefs
            
          

                  

            Chiefs",274,3189,11.6,27,40,4,75T,167,60.9,2
"Jaguars
            
          

                  

            Jaguars",291,3356,11.5,26,47,6,75,161,55.3,3
"Colts
            
          

                  

            Colts",450,4700,10.4,33,43,9,73T,253,56.2,3
"Texans
            
          

                  

            Texans",365,4370,12,24,59,9,60,222,60.8,3
"Titans
            
          

                  

            Titans",273,3278,12,24,44,8,80T,155,56.8,4
"Packers
            
          

                  

            Packers",352,4355,12.4,31,57,11,86T,204,58,9
"Lions
            
          

                  

            Lions",383,4001,10.4,26,43,6,87T,199,52,4
"Broncos
            
          

                  

            Broncos",334,4307,12.9,25,62,13,71,204,61.1,5
"Cowboys
            
          

                  

            Cowboys",379,4208,11.1,29,57,8,71T,201,53,8
"Browns
            
          

                  

            Browns",296,3203,10.8,13,42,6,65T,154,52,4
"Bengals
            
          

                  

            Bengals",365,3988,10.9,26,45,9,78T,206,56.4,4
"Bears
            
          

                  

            Bears",276,3397,12.3,23,42,6,89T,163,59.1,7
"Panthers
            
          

                  

            Panthers",256,2635,10.3,9,30,3,88T,125,48.8,2
"Bills
            
          

                  

            Bills",296,3371,11.4,24,42,8,65T,166,56.1,8
"Ravens
            
          

                  

            Ravens",308,3629,11.8,25,40,7,67,175,56.8,3
"Falcons
            
          

                  

            Falcons",361,3725,10.3,28,32,6,46,200,55.4,3
