Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
"Redskins
            
          

                  

            Redskins",407,4948,12.2,25,70,13,80T,226,55.5,4
"Buccaneers
            
          

                  

            Buccaneers",355,4165,11.7,29,43,4,45T,220,62,1
"Seahawks
            
          

                  

            Seahawks",368,4422,12,23,54,12,59,203,55.2,6
"49ers
            
          

                  

            49ers",287,3166,11,21,35,6,75T,152,53,7
"Chargers
            
          

                  

            Chargers",349,4386,12.6,33,57,16,59,214,61.3,6
"Steelers
            
          

                  

            Steelers",381,4377,11.5,33,64,10,72T,210,55.1,1
"Cardinals
            
          

                  

            Cardinals",383,4425,11.6,28,51,6,80T,229,59.8,5
"Eagles
            
          

                  

            Eagles",380,3798,10,16,39,6,73T,192,50.5,3
"Jets
            
          

                  

            Jets",311,3645,11.7,16,48,10,69T,166,53.4,3
"Giants
            
          

                  

            Giants",377,4027,10.7,26,46,11,75T,190,50.4,7
"Saints
            
          

                  

            Saints",472,5258,11.1,38,71,11,98T,265,56.1,7
"Patriots
            
          

                  

            Patriots",368,4456,12.1,32,56,9,79T,203,55.2,3
"Vikings
            
          

                  

            Vikings",414,4119,9.9,20,52,8,71T,209,50.5,1
"Dolphins
            
          

                  

            Dolphins",316,3716,11.8,27,46,15,74T,167,52.8,2
"Raiders
            
          

                  

            Raiders",379,4137,10.9,29,51,8,75T,198,52.2,4
"Rams
            
          

                  

            Rams",312,3313,10.6,14,43,9,66,151,48.4,4
"Chiefs
            
          

                  

            Chiefs",365,3914,10.7,19,46,9,80T,197,54,5
"Jaguars
            
          

                  

            Jaguars",369,3925,10.6,24,44,4,51T,207,56.1,2
"Colts
            
          

                  

            Colts",370,4491,12.1,32,63,8,64T,220,59.5,4
"Texans
            
          

                  

            Texans",347,3418,9.9,15,34,4,53,173,49.9,2
"Titans
            
          

                  

            Titans",307,3720,12.1,29,53,8,60,175,57,2
"Packers
            
          

                  

            Packers",403,4445,11,40,57,10,66T,222,55.1,6
"Lions
            
          

                  

            Lions",388,4327,11.2,24,52,10,73T,217,55.9,1
"Broncos
            
          

                  

            Broncos",339,3914,11.5,20,40,8,76T,181,53.4,8
"Cowboys
            
          

                  

            Cowboys",325,3799,11.7,25,39,8,83T,191,58.8,4
"Browns
            
          

                  

            Browns",338,3693,10.9,15,44,9,58,181,53.6,2
"Bengals
            
          

                  

            Bengals",364,4206,11.6,18,53,13,86T,204,56,4
"Bears
            
          

                  

            Bears",347,4139,11.9,19,49,4,64,212,61.1,5
"Panthers
            
          

                  

            Panthers",306,3962,12.9,21,49,9,88T,194,63.4,2
"Bills
            
          

                  

            Bills",286,3250,11.4,17,35,8,84T,155,54.2,0
"Ravens
            
          

                  

            Ravens",439,4343,9.9,20,40,11,95T,205,46.7,2
"Falcons
            
          

                  

            Falcons",374,4960,13.3,38,69,17,76T,239,63.9,1
