Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
"Redskins
            
          

                  

            Redskins",311,3287,10.6,16,40,6,79T,156,50.2,3
"Buccaneers
            
          

                  

            Buccaneers",408,5358,13.1,36,71,14,75T,265,65,7
"Seahawks
            
          

                  

            Seahawks",280,3448,12.3,35,47,13,66,156,55.7,4
"49ers
            
          

                  

            49ers",331,4247,12.8,26,61,12,85T,201,60.7,3
"Chargers
            
          

                  

            Chargers",348,4316,12.4,32,60,10,75T,213,61.2,6
"Steelers
            
          

                  

            Steelers",459,5174,11.3,35,62,16,97T,251,54.7,7
"Cardinals
            
          

                  

            Cardinals",283,2884,10.2,15,31,4,75T,137,48.4,2
"Eagles
            
          

                  

            Eagles",422,4524,10.7,29,52,9,83T,221,52.4,5
"Jets
            
          

                  

            Jets",299,3404,11.4,18,44,5,76T,157,52.5,5
"Giants
            
          

                  

            Giants",382,4405,11.5,23,59,12,58,208,54.5,3
"Saints
            
          

                  

            Saints",381,4174,11,33,59,7,72T,210,55.1,6
"Patriots
            
          

                  

            Patriots",378,4405,11.7,29,54,8,63T,206,54.5,2
"Vikings
            
          

                  

            Vikings",425,4298,10.1,30,47,7,75T,218,51.3,1
"Dolphins
            
          

                  

            Dolphins",292,3309,11.3,26,34,9,75T,153,52.4,1
"Raiders
            
          

                  

            Raiders",382,4057,10.6,19,52,7,66,197,51.6,2
"Rams
            
          

                  

            Rams",368,4730,12.9,32,69,9,70T,236,64.1,3
"Chiefs
            
          

                  

            Chiefs",385,5126,13.3,50,76,15,89T,239,62.1,4
"Jaguars
            
          

                  

            Jaguars",329,3431,10.4,15,41,3,80T,164,49.8,8
"Colts
            
          

                  

            Colts",432,4595,10.6,39,53,7,68T,237,54.9,4
"Texans
            
          

                  

            Texans",345,4165,12.1,26,51,8,73T,202,58.6,4
"Titans
            
          

                  

            Titans",293,3255,11.1,16,37,6,66T,156,53.2,4
"Packers
            
          

                  

            Packers",392,4629,11.8,25,57,16,75T,208,53.1,2
"Lions
            
          

                  

            Lions",375,3844,10.3,22,44,6,67,201,53.6,3
"Broncos
            
          

                  

            Broncos",367,3930,10.7,19,53,11,64T,181,49.3,4
"Cowboys
            
          

                  

            Cowboys",356,3885,10.9,22,39,9,90T,184,51.7,3
"Browns
            
          

                  

            Browns",353,4261,12.1,29,60,11,71,189,53.5,6
"Bengals
            
          

                  

            Bengals",331,3569,10.8,27,53,1,49,182,55,2
"Bears
            
          

                  

            Bears",344,3747,10.9,28,46,11,70T,177,51.5,4
"Panthers
            
          

                  

            Panthers",378,4071,10.8,28,52,5,82,212,56.1,6
"Bills
            
          

                  

            Bills",271,3082,11.4,13,43,8,75T,137,50.6,4
"Ravens
            
          

                  

            Ravens",334,3708,11.1,18,43,6,74,184,55.1,1
"Falcons
            
          

                  

            Falcons",428,4949,11.6,36,56,9,75T,238,55.6,7
