Team,INT,INT TD,INT Yds,Lng
,10,1,185,50T
49ers,,,,
,8,2,253,90T
Bears,,,,
,11,3,339,101
Bengals,,,,
,18,1,275,63
Bills,,,,
,10,2,237,103T
Broncos,,,,
,7,1,97,56T
Browns,,,,
,13,1,218,47T
Buccaneers,,,,
,15,1,258,82T
Cardinals,,,,
,18,2,302,90T
Chargers,,,,
,16,0,201,62
Chiefs,,,,
,13,1,215,44
Colts,,,,
,10,1,98,25
Cowboys,,,,
,9,1,99,30T
Dolphins,,,,
,19,1,278,59
Eagles,,,,
,8,0,108,43
Falcons,,,,
,13,2,161,53T
Giants,,,,
,21,2,294,67
Jaguars,,,,
,11,0,151,48
Jets,,,,
,19,3,253,37T
Lions,,,,
,11,1,54,21T
Packers,,,,
,10,0,78,40
Panthers,,,,
,12,0,114,39
Patriots,,,,
,5,0,10,8
Raiders,,,,
,18,3,401,69
Rams,,,,
,22,3,385,63T
Ravens,,,,
Redskins,16,2,194,96T
,20,2,192,33
Saints,,,,
,14,3,212,78T
Seahawks,,,,
,16,0,184,41
Steelers,,,,
,11,2,144,82T
Texans,,,,
,12,0,154,33
Titans,,,,
,14,1,200,36
Vikings,,,,
