Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
,203,88,14,7,188,58,83,20.6,989
49ers,,,,,,,,,
,201,85,19,12,227,62,78,18.5,1008
Bears,,,,,,,,,
,215,79,19,10,197,54,105,23.9,1067
Bengals,,,,,,,,,
,220,73,11,5,171,50.7,89,21.5,1027
Bills,,,,,,,,,
,222,81,17,10,219,54.9,60,17.2,1031
Broncos,,,,,,,,,
,239,90,18,11,184,54.9,126,25.2,1118
Browns,,,,,,,,,
,213,93,9,5,223,57.6,103,22,1067
Buccaneers,,,,,,,,,
,215,81,13,5,195,53.4,77,19.4,1010
Cardinals,,,,,,,,,
,207,89,10,2,168,52.5,98,22.4,988
Chargers,,,,,,,,,
,216,79,21,8,184,57.9,108,24.9,1024
Chiefs,,,,,,,,,
,201,67,17,4,175,54.7,103,24.3,1007
Colts,,,,,,,,,
,204,89,20,10,195,52.6,86,21.9,978
Cowboys,,,,,,,,,
,223,98,22,13,194,57.4,99,21.9,1029
Dolphins,,,,,,,,,
,232,88,12,3,211,61.2,88,18.6,1113
Eagles,,,,,,,,,
,203,95,8,4,224,62.4,108,24,1038
Falcons,,,,,,,,,
,200,72,10,4,187,57.7,112,25.6,1007
Giants,,,,,,,,,
,236,101,10,4,200,56.3,107,21.4,1085
Jaguars,,,,,,,,,
,219,99,4,0,194,56.2,74,18.8,976
Jets,,,,,,,,,
,207,77,15,6,209,54.6,59,16.9,984
Lions,,,,,,,,,
,206,83,28,15,196,58.9,116,25.8,1054
Packers,,,,,,,,,
,210,89,11,5,193,53,91,22.9,999
Panthers,,,,,,,,,
,209,84,23,8,196,57.3,88,21,1033
Patriots,,,,,,,,,
,221,85,9,4,190,55.4,95,19.8,1041
Raiders,,,,,,,,,
,213,82,10,0,189,51.4,83,19.5,1005
Rams,,,,,,,,,
,221,89,14,5,205,53.7,75,19.2,1034
Ravens,,,,,,,,,
Redskins,207,89,9,5,195,56.5,77,18.3,976
,215,99,8,4,205,60.1,111,25.1,1022
Saints,,,,,,,,,
,202,75,14,8,175,55.9,70,18.4,924
Seahawks,,,,,,,,,
,189,71,14,10,193,55.1,88,23.9,944
Steelers,,,,,,,,,
,218,74,17,6,206,56.7,89,21.2,1077
Texans,,,,,,,,,
,227,94,11,5,211,60.8,119,23.1,1099
Titans,,,,,,,,,
,217,90,14,9,189,53.5,100,22.2,1025
Vikings,,,,,,,,,
