Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
,226,102,7,4,187,58.1,140,25.5,1102
49ers,,,,,,,,,
,210,85,14,10,188,55,99,22.2,1012
Bears,,,,,,,,,
,217,86,19,9,196,52.4,95,23.1,1038
Bengals,,,,,,,,,
,205,82,14,4,183,59.8,122,26.1,1018
Bills,,,,,,,,,
,236,86,16,6,169,55.2,101,21,1076
Broncos,,,,,,,,,
,206,93,12,9,220,63.4,121,24.3,1067
Browns,,,,,,,,,
,195,67,10,8,203,58.5,102,23.9,1013
Buccaneers,,,,,,,,,
,219,85,15,7,175,50.9,90,21.2,1019
Cardinals,,,,,,,,,
,208,83,16,11,204,56,98,23.9,1025
Chargers,,,,,,,,,
,222,96,20,10,209,59.7,102,23.3,1063
Chiefs,,,,,,,,,
,193,80,8,3,225,59.5,93,22.7,1024
Colts,,,,,,,,,
,197,77,14,9,226,53.2,79,23.2,1009
Cowboys,,,,,,,,,
,213,77,16,9,199,54.1,109,23.5,1088
Dolphins,,,,,,,,,
,205,82,18,8,177,53.2,89,22.8,978
Eagles,,,,,,,,,
,213,89,25,18,232,55,95,25.7,1059
Falcons,,,,,,,,,
,238,84,14,7,191,51.8,82,20.7,1062
Giants,,,,,,,,,
,224,83,13,6,174,50.4,93,20.9,1030
Jaguars,,,,,,,,,
,210,84,10,2,203,58.5,86,20.1,1000
Jets,,,,,,,,,
,198,90,8,3,206,51.6,99,25.4,964
Lions,,,,,,,,,
,199,82,18,12,227,61.4,80,21.3,987
Packers,,,,,,,,,
,211,80,13,9,223,54.5,90,23.9,1035
Panthers,,,,,,,,,
,206,76,18,7,190,51.6,81,22,998
Patriots,,,,,,,,,
,198,78,15,4,188,57.3,94,22.3,987
Raiders,,,,,,,,,
,220,82,14,12,194,51.3,91,21.5,1037
Rams,,,,,,,,,
,214,75,16,11,190,51.5,74,19.3,993
Ravens,,,,,,,,,
Redskins,208,97,16,9,225,58.1,109,25.8,1050
,194,84,10,4,230,60.8,91,23,1008
Saints,,,,,,,,,
,212,82,20,6,180,54.4,94,21.3,1020
Seahawks,,,,,,,,,
,214,88,21,11,184,48.3,95,25.7,997
Steelers,,,,,,,,,
,213,82,13,3,157,49.2,87,21.9,950
Texans,,,,,,,,,
,210,77,22,12,227,58.5,70,19.7,1031
Titans,,,,,,,,,
,206,80,14,3,186,56,87,21.5,993
Vikings,,,,,,,,,
