Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
,216,76,17,7,190,57.1,53,15,974
49ers,,,,,,,,,
,229,80,17,7,199,52,75,19.5,1048
Bears,,,,,,,,,
,220,78,11,4,170,53.3,94,22.1,1009
Bengals,,,,,,,,,
,189,75,13,9,196,61.1,120,25.7,1003
Bills,,,,,,,,,
,218,73,9,3,182,54.7,101,20.7,1063
Broncos,,,,,,,,,
,230,95,14,6,149,56.2,124,23.2,1035
Browns,,,,,,,,,
,185,73,13,9,188,62.5,135,27.1,1002
Buccaneers,,,,,,,,,
,226,71,8,4,174,51.2,118,24.8,1095
Cardinals,,,,,,,,,
,195,96,9,1,186,62.2,102,22.8,958
Chargers,,,,,,,,,
,210,72,16,7,169,65.8,96,18.9,991
Chiefs,,,,,,,,,
,216,98,6,3,193,55,136,25.2,1062
Colts,,,,,,,,,
,204,81,11,4,199,59.2,78,20.3,972
Cowboys,,,,,,,,,
,219,74,14,7,198,56.6,88,21.4,1043
Dolphins,,,,,,,,,
,211,75,17,7,173,57.5,84,20.3,982
Eagles,,,,,,,,,
,211,93,11,6,186,54.7,87,23.4,965
Falcons,,,,,,,,,
,220,84,18,10,210,58.2,103,23.7,1072
Giants,,,,,,,,,
,218,79,9,4,175,53.7,73,16.8,979
Jaguars,,,,,,,,,
,211,69,10,1,167,60.7,83,18.4,993
Jets,,,,,,,,,
,205,67,19,8,195,51.9,91,22.2,1055
Lions,,,,,,,,,
,195,83,16,4,246,63.1,96,25.1,1049
Packers,,,,,,,,,
,194,83,12,4,191,60.1,110,24.4,972
Panthers,,,,,,,,,
,202,87,19,8,245,63.5,101,24.9,1064
Patriots,,,,,,,,,
,219,92,14,4,206,63.6,105,24.4,1070
Raiders,,,,,,,,,
,216,83,8,5,166,56.7,122,23.9,1033
Rams,,,,,,,,,
,221,71,21,10,166,57.6,79,18.9,1002
Ravens,,,,,,,,,
Redskins,206,77,10,4,180,58.4,95,21.7,988
,202,67,22,6,196,54.1,92,26.2,1010
Saints,,,,,,,,,
,221,77,11,7,174,53.7,96,20.3,1049
Seahawks,,,,,,,,,
,221,86,13,8,156,54,82,20.6,964
Steelers,,,,,,,,,
,212,76,13,6,166,59.5,73,19.3,960
Texans,,,,,,,,,
,236,96,20,8,187,50.7,111,24.1,1080
Titans,,,,,,,,,
,208,92,9,5,213,58,92,21,1027
Vikings,,,,,,,,,
