Team,FF,FR,FR TD,Rec FUM,Rush FUM
,19,15,0,5,10
49ers,,,,,
,14,11,2,3,9
Bears,,,,,
,18,12,2,8,8
Bengals,,,,,
,15,11,2,2,9
Bills,,,,,
,11,9,0,3,5
Broncos,,,,,
,15,11,0,4,6
Browns,,,,,
,13,10,1,3,10
Buccaneers,,,,,
,12,9,0,3,3
Cardinals,,,,,
,7,4,1,3,3
Chargers,,,,,
,13,6,0,1,8
Chiefs,,,,,
,14,9,1,4,5
Colts,,,,,
,13,9,0,4,6
Cowboys,,,,,
,9,3,0,1,9
Dolphins,,,,,
,10,9,3,3,5
Eagles,,,,,
,13,10,1,4,5
Falcons,,,,,
,13,11,1,1,10
Giants,,,,,
,19,11,3,1,7
Jaguars,,,,,
,19,12,0,2,10
Jets,,,,,
,17,13,2,4,5
Lions,,,,,
,13,7,1,8,6
Packers,,,,,
,12,10,0,4,10
Panthers,,,,,
,10,11,1,0,10
Patriots,,,,,
,7,8,1,3,3
Raiders,,,,,
,16,6,0,2,12
Rams,,,,,
,21,11,3,6,10
Ravens,,,,,
Redskins,17,8,0,5,5
,17,7,2,5,7
Saints,,,,,
,13,9,0,5,4
Seahawks,,,,,
,10,4,1,1,2
Steelers,,,,,
,13,10,0,0,8
Texans,,,,,
,15,12,0,5,9
Titans,,,,,
,19,15,0,5,5
Vikings,,,,,
