Team,INT,INT TD,INT Yds,Lng
,12,1,123,51
49ers,,,,
,10,0,81,33
Bears,,,,
,11,0,84,30
Bengals,,,,
,15,2,184,51T
Bills,,,,
,10,0,130,46
Broncos,,,,
,11,2,214,50T
Browns,,,,
,15,1,171,37
Buccaneers,,,,
,11,0,129,90
Cardinals,,,,
,12,2,217,78T
Chargers,,,,
,16,2,259,50T
Chiefs,,,,
,15,4,266,50T
Colts,,,,
,10,0,108,43
Cowboys,,,,
,18,0,146,29
Dolphins,,,,
,8,1,101,30T
Eagles,,,,
,12,1,204,67T
Falcons,,,,
,16,2,136,76T
Football Team,,,,
,11,1,101,46T
Giants,,,,
,12,1,200,53
Jaguars,,,,
,10,1,134,35T
Jets,,,,
,7,0,65,36
Lions,,,,
,11,1,98,24
Packers,,,,
,7,0,110,66
Panthers,,,,
,18,1,162,43T
Patriots,,,,
,10,0,156,47
Raiders,,,,
,14,3,266,84T
Rams,,,,
,10,0,78,25
Ravens,,,,
,18,1,196,48
Saints,,,,
,14,0,106,32
Seahawks,,,,
,18,3,169,37
Steelers,,,,
,3,1,19,19T
Texans,,,,
,15,0,189,68
Titans,,,,
,15,0,65,16
Vikings,,,,
