Team,INT,INT TD,INT Yds,Lng
,23,1,284,48
49ers,,,,
,20,4,177,44T
Bears,,,,
,10,1,137,75T
Bengals,,,,
,20,4,341,43T
Bills,,,,
,9,3,152,55T
Broncos,,,,
,9,0,93,29
Browns,,,,
,14,3,195,43
Buccaneers,,,,
,10,0,117,49
Cardinals,,,,
,17,1,260,64
Chargers,,,,
,20,2,283,59T
Chiefs,,,,
,8,2,118,32T
Colts,,,,
,15,1,217,43T
Cowboys,,,,
,16,1,256,55
Dolphins,,,,
,15,1,192,35
Eagles,,,,
,19,2,301,50T
Falcons,,,,
,20,0,157,31
Giants,,,,
,17,0,160,30
Jaguars,,,,
,19,2,378,100T
Jets,,,,
,21,5,458,100T
Lions,,,,
,31,4,468,76
Packers,,,,
,14,0,197,53
Panthers,,,,
,23,2,296,38
Patriots,,,,
,18,0,252,73
Raiders,,,,
,12,1,169,51
Rams,,,,
,15,1,175,73T
Ravens,,,,
Redskins,13,1,127,30
,9,1,80,42T
Saints,,,,
,22,4,462,94T
Seahawks,,,,
,11,0,99,33
Steelers,,,,
,17,1,196,42
Texans,,,,
,11,1,179,97T
Titans,,,,
,8,0,152,52
Vikings,,,,
