Team,Sck,Comb,Asst,Solo
,36,1072,307,702
49ers,,,,
,45,995,231,737
Bears,,,,
,48,1039,354,659
Bengals,,,,
,40,1049,285,681
Bills,,,,
,41,991,328,617
Broncos,,,,
,41,977,309,619
Browns,,,,
,47,1070,344,674
Buccaneers,,,,
,50,1002,284,678
Cardinals,,,,
,34,1037,359,619
Chargers,,,,
,25,954,215,702
Chiefs,,,,
,32,1021,254,671
Colts,,,,
,23,1051,316,703
Cowboys,,,,
,58,986,257,668
Dolphins,,,,
,37,1092,312,740
Eagles,,,,
,50,1094,312,742
Falcons,,,,
,43,1022,321,658
Giants,,,,
,42,1037,332,659
Jaguars,,,,
,52,1029,416,577
Jets,,,,
,43,974,247,682
Lions,,,,
,36,993,271,679
Packers,,,,
,58,1088,408,650
Panthers,,,,
,28,1119,304,681
Patriots,,,,
,29,1100,368,644
Raiders,,,,
,22,1040,291,654
Rams,,,,
,28,1133,341,721
Ravens,,,,
Redskins,50,957,328,567
,25,1061,306,717
Saints,,,,
,48,1140,404,670
Seahawks,,,,
,32,1013,303,623
Steelers,,,,
,49,1032,301,680
Texans,,,,
,56,1057,366,597
Titans,,,,
,28,1038,334,676
Vikings,,,,
