Team,Sck,Comb,Asst,Solo
,39,988,201,694
49ers,,,,
,30,981,176,777
Bears,,,,
,29,1180,406,708
Bengals,,,,
,48,1261,386,655
Bills,,,,
,20,1105,218,841
Broncos,,,,
,49,1017,329,667
Browns,,,,
,47,967,234,667
Buccaneers,,,,
,41,993,191,773
Cardinals,,,,
,30,1094,216,750
Chargers,,,,
,41,990,126,824
Chiefs,,,,
,32,1002,269,712
Colts,,,,
,35,915,179,695
Cowboys,,,,
,58,963,221,701
Dolphins,,,,
,46,1007,176,785
Eagles,,,,
,44,1033,300,665
Falcons,,,,
,40,1040,260,604
Giants,,,,
,50,935,158,763
Jaguars,,,,
,47,1072,366,668
Jets,,,,
,23,1059,310,717
Lions,,,,
,45,1092,271,748
Packers,,,,
,43,1022,281,704
Panthers,,,,
,40,1212,485,696
Patriots,,,,
,44,1031,280,669
Raiders,,,,
,36,923,140,753
Rams,,,,
,48,1107,346,735
Ravens,,,,
Redskins,43,1204,427,650
,37,1064,312,730
Saints,,,,
,44,1170,427,646
Seahawks,,,,
,43,1072,327,670
Steelers,,,,
,42,1065,232,761
Texans,,,,
,37,1024,236,758
Titans,,,,
,44,1028,308,688
Vikings,,,,
