Team,FF,FR,FR TD,Rec FUM,Rush FUM
,12,11,3,2,6
49ers,,,,,
,19,9,1,5,11
Bears,,,,,
,13,11,1,5,4
Bengals,,,,,
,12,6,1,3,7
Bills,,,,,
,16,9,1,4,9
Broncos,,,,,
,8,7,1,2,4
Browns,,,,,
,15,10,0,5,6
Buccaneers,,,,,
,11,10,1,2,6
Cardinals,,,,,
,11,6,0,4,4
Chargers,,,,,
,13,15,2,4,4
Chiefs,,,,,
,19,12,0,0,8
Colts,,,,,
,13,13,3,4,4
Cowboys,,,,,
,10,6,0,0,5
Dolphins,,,,,
,13,12,1,3,15
Eagles,,,,,
,13,11,1,6,5
Falcons,,,,,
,15,12,0,4,6
Giants,,,,,
,15,10,1,2,10
Jaguars,,,,,
,10,2,0,2,5
Jets,,,,,
,11,7,1,1,10
Lions,,,,,
,16,11,2,3,3
Packers,,,,,
,11,10,0,3,5
Panthers,,,,,
,11,12,1,5,6
Patriots,,,,,
,19,13,2,7,6
Raiders,,,,,
,21,15,3,3,8
Rams,,,,,
,14,7,0,6,6
Ravens,,,,,
Redskins,12,9,1,5,8
,13,7,0,4,3
Saints,,,,,
,17,11,1,4,7
Seahawks,,,,,
,16,10,0,5,7
Steelers,,,,,
,10,4,0,1,7
Texans,,,,,
,14,12,2,5,9
Titans,,,,,
,12,8,1,4,7
Vikings,,,,,
