Team,INT,INT TD,INT Yds,Lng
,14,2,216,63
49ers,,,,
,24,8,488,74T
Bears,,,,
,14,2,164,44
Bengals,,,,
,12,1,178,45
Bills,,,,
,16,5,347,98T
Broncos,,,,
,17,2,230,50
Browns,,,,
,18,3,419,83T
Buccaneers,,,,
,22,2,306,102T
Cardinals,,,,
,14,5,336,80T
Chargers,,,,
,7,0,119,32
Chiefs,,,,
,12,4,155,51
Colts,,,,
,7,1,147,47T
Cowboys,,,,
,10,0,99,31
Dolphins,,,,
,8,0,31,14
Eagles,,,,
,20,1,246,79T
Falcons,,,,
,21,1,496,70
Giants,,,,
,12,0,122,23
Jaguars,,,,
,11,2,117,40T
Jets,,,,
,11,0,135,29
Lions,,,,
,18,1,246,72T
Packers,,,,
,11,3,181,74T
Panthers,,,,
,20,2,371,87T
Patriots,,,,
,11,0,91,24
Raiders,,,,
,17,4,382,42
Rams,,,,
,13,2,196,63T
Ravens,,,,
Redskins,21,3,257,49
,15,4,369,99T
Saints,,,,
,18,2,255,57T
Seahawks,,,,
,10,1,127,53T
Steelers,,,,
,15,3,333,86
Texans,,,,
,19,4,358,79T
Titans,,,,
,10,3,224,56T
Vikings,,,,
