Team,INT,INT TD,INT Yds,Lng
,9,1,125,45
49ers,,,,
,8,0,103,39
Bears,,,,
,21,1,202,37
Bengals,,,,
,17,2,253,44T
Bills,,,,
,14,4,321,74T
Broncos,,,,
,11,2,210,52T
Browns,,,,
,11,1,93,26
Buccaneers,,,,
,19,4,263,40
Cardinals,,,,
,11,1,152,68T
Chargers,,,,
,22,4,477,90T
Chiefs,,,,
,17,4,196,69T
Colts,,,,
,8,1,62,24
Cowboys,,,,
,13,3,184,42
Dolphins,,,,
,15,3,280,99T
Eagles,,,,
,15,1,220,84
Falcons,,,,
,15,2,206,63T
Giants,,,,
,9,1,120,48
Jaguars,,,,
,18,0,191,31
Jets,,,,
,9,1,103,31T
Lions,,,,
,16,2,198,45T
Packers,,,,
,24,4,301,46T
Panthers,,,,
,12,0,176,51
Patriots,,,,
,14,1,73,27
Raiders,,,,
,13,1,182,58T
Rams,,,,
,6,1,51,25
Ravens,,,,
Redskins,11,1,181,44
,9,0,87,24
Saints,,,,
,14,0,205,54
Seahawks,,,,
,17,2,282,70T
Steelers,,,,
,14,2,180,50
Texans,,,,
,11,1,164,45
Titans,,,,
,13,2,215,91T
Vikings,,,,
