Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
,217,84,13,3,188,52.5,86,19.2,1033
49ers,,,,,,,,,
,216,75,13,6,183,50.4,88,22.8,1002
Bears,,,,,,,,,
,198,75,7,2,170,52.1,97,23.3,957
Bengals,,,,,,,,,
,227,98,10,7,179,60.9,138,24.2,1071
Bills,,,,,,,,,
,209,80,16,10,184,62,126,23.7,1056
Broncos,,,,,,,,,
,224,96,15,11,195,63.1,102,20.2,1041
Browns,,,,,,,,,
,213,92,17,9,171,55.7,118,26.6,991
Buccaneers,,,,,,,,,
,233,87,17,9,178,54.9,123,23.4,1092
Cardinals,,,,,,,,,
,208,70,28,12,153,53.7,77,19.1,939
Chargers,,,,,,,,,
,223,84,20,7,186,58.3,88,21.6,1028
Chiefs,,,,,,,,,
,200,78,18,8,190,53.4,111,24.9,1010
Colts,,,,,,,,,
,204,81,9,4,200,57.5,84,20.9,977
Cowboys,,,,,,,,,
,226,84,22,8,166,57.6,84,18.8,988
Dolphins,,,,,,,,,
,209,80,12,5,185,59.9,91,21.5,998
Eagles,,,,,,,,,
,201,79,17,9,183,50.3,87,23.8,957
Falcons,,,,,,,,,
,208,66,17,9,159,51.6,88,22.6,974
Giants,,,,,,,,,
,189,78,18,8,197,59.9,98,23.6,948
Jaguars,,,,,,,,,
,219,81,6,4,169,62.8,70,17.2,979
Jets,,,,,,,,,
,198,77,12,5,187,56.7,98,22.1,1005
Lions,,,,,,,,,
,213,77,20,6,163,55.1,82,20.8,969
Packers,,,,,,,,,
,213,81,9,4,176,54,121,24.1,1060
Panthers,,,,,,,,,
,210,99,20,12,226,58.2,99,24.2,1056
Patriots,,,,,,,,,
,218,76,11,3,150,60.2,98,20.7,991
Raiders,,,,,,,,,
,221,74,12,6,191,58.2,88,21.8,1017
Rams,,,,,,,,,
,229,87,12,6,187,53.6,79,20.6,1007
Ravens,,,,,,,,,
Redskins,214,75,10,7,207,56.4,106,23.9,1051
,203,70,23,15,150,49,94,22.3,948
Saints,,,,,,,,,
,238,94,19,8,206,60.8,91,20.1,1074
Seahawks,,,,,,,,,
,209,70,16,10,182,50.1,61,18.3,974
Steelers,,,,,,,,,
,195,77,13,11,211,59.6,113,26.1,1010
Texans,,,,,,,,,
,242,104,22,9,214,52.2,107,22.6,1139
Titans,,,,,,,,,
,213,87,10,5,178,53.5,87,20.9,977
Vikings,,,,,,,,,
