Team,Sck,Comb,Asst,Solo
,52,1013,175,765
49ers,,,,
,41,969,199,739
Bears,,,,
,23,1153,442,675
Bengals,,,,
,39,1128,324,626
Bills,,,,
,17,1042,216,770
Broncos,,,,
,31,1022,332,668
Browns,,,,
,52,899,197,633
Buccaneers,,,,
,28,903,157,687
Cardinals,,,,
,37,1020,213,674
Chargers,,,,
,49,987,179,745
Chiefs,,,,
,29,1098,323,738
Colts,,,,
,30,1030,208,776
Cowboys,,,,
,46,1004,178,794
Dolphins,,,,
,32,1062,203,816
Eagles,,,,
,31,1030,246,734
Falcons,,,,
,30,1181,326,659
Giants,,,,
,71,960,228,708
Jaguars,,,,
,47,1197,389,661
Jets,,,,
,45,1005,266,717
Lions,,,,
,30,1022,258,674
Packers,,,,
,42,1120,402,690
Panthers,,,,
,26,1123,366,691
Patriots,,,,
,28,933,211,679
Raiders,,,,
,47,981,168,719
Rams,,,,
,19,1075,410,641
Ravens,,,,
Redskins,58,1084,324,684
,30,1072,315,736
Saints,,,,
,42,1130,382,702
Seahawks,,,,
,33,1134,385,676
Steelers,,,,
,26,1120,327,730
Texans,,,,
,50,900,241,652
Titans,,,,
,51,980,213,736
Vikings,,,,
