Team,Sck,Comb,Asst,Solo
,48,1001,215,689
49ers,,,,
,33,1012,190,768
Bears,,,,
,37,906,250,632
Bengals,,,,
,41,1030,263,672
Bills,,,,
,34,970,204,726
Broncos,,,,
,38,1055,330,687
Browns,,,,
,41,1022,236,710
Buccaneers,,,,
,52,890,244,602
Cardinals,,,,
,34,1019,333,611
Chargers,,,,
,26,985,287,655
Chiefs,,,,
,18,1024,208,724
Colts,,,,
,56,1059,325,693
Cowboys,,,,
,52,936,276,606
Dolphins,,,,
,40,1055,227,755
Eagles,,,,
,42,960,191,738
Falcons,,,,
,47,1095,337,599
Giants,,,,
,53,1007,252,701
Jaguars,,,,
,37,977,319,631
Jets,,,,
,41,982,217,714
Lions,,,,
,53,989,273,637
Packers,,,,
,32,1056,358,660
Panthers,,,,
,21,1135,409,689
Patriots,,,,
,52,1062,318,670
Raiders,,,,
,33,1062,250,748
Rams,,,,
,32,1147,316,773
Ravens,,,,
Redskins,44,980,252,660
,20,1065,292,707
Saints,,,,
,51,1121,363,675
Seahawks,,,,
,24,1060,309,652
Steelers,,,,
,62,1153,379,701
Texans,,,,
,47,1041,308,619
Titans,,,,
,40,1001,260,697
Vikings,,,,
