Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
,215,71,25,14,178,52.8,72,17.7,1012
49ers,,,,,,,,,
,220,78,16,10,186,53.1,75,19.3,1021
Bears,,,,,,,,,
,219,79,12,5,183,52.9,99,23.4,1034
Bengals,,,,,,,,,
,209,92,12,6,182,59.5,136,28.9,1042
Bills,,,,,,,,,
,216,66,18,7,183,57,73,18.1,1015
Broncos,,,,,,,,,
,223,85,11,7,203,53.7,104,22.8,1095
Browns,,,,,,,,,
,219,88,14,6,226,55.1,75,19.9,1031
Buccaneers,,,,,,,,,
,222,73,9,4,160,59.3,107,21.1,1041
Cardinals,,,,,,,,,
,214,90,10,4,201,57.9,85,20.9,1012
Chargers,,,,,,,,,
,202,79,4,3,176,63.1,106,22,973
Chiefs,,,,,,,,,
,197,75,7,3,190,56.9,102,23.8,995
Colts,,,,,,,,,
,202,81,11,6,195,60.9,92,20.9,986
Cowboys,,,,,,,,,
,238,87,17,12,215,60.9,79,18.3,1073
Dolphins,,,,,,,,,
,203,83,10,2,178,61,108,22.5,994
Eagles,,,,,,,,,
,200,81,13,6,189,56.1,99,24.1,991
Falcons,,,,,,,,,
,198,84,21,10,196,57.5,104,23.2,1016
Giants,,,,,,,,,
,215,89,9,4,194,56.9,133,24.4,1100
Jaguars,,,,,,,,,
,226,84,15,12,161,60.5,96,19.4,1019
Jets,,,,,,,,,
,208,76,6,5,167,48.3,107,25.5,998
Lions,,,,,,,,,
,218,83,23,9,191,61,83,19.9,1033
Packers,,,,,,,,,
,202,73,19,10,195,52.6,98,23.6,1010
Panthers,,,,,,,,,
,205,82,23,9,207,56.1,100,24.1,1046
Patriots,,,,,,,,,
,212,83,14,8,180,51.9,95,21.4,995
Raiders,,,,,,,,,
,213,80,16,6,197,54.4,107,24.2,1041
Rams,,,,,,,,,
,232,83,12,6,187,55.8,105,21.3,1086
Ravens,,,,,,,,,
Redskins,215,95,14,8,223,56.7,89,24.5,1031
,208,80,19,10,236,63.8,116,25.4,1089
Saints,,,,,,,,,
,198,76,10,3,186,56.9,80,21.7,968
Seahawks,,,,,,,,,
,206,73,11,8,169,56.5,78,19.9,951
Steelers,,,,,,,,,
,215,71,16,5,167,54.2,94,24.1,1015
Texans,,,,,,,,,
,214,85,14,6,210,56.1,122,25.3,1086
Titans,,,,,,,,,
,230,95,20,11,229,58.6,82,19.2,1083
Vikings,,,,,,,,,
