Team,FF,FR,FR TD,Rec FUM,Rush FUM
,11,5,0,4,6
49ers,,,,,
,18,9,1,4,5
Bears,,,,,
,10,6,2,3,3
Bengals,,,,,
,21,11,0,4,10
Bills,,,,,
,13,10,0,3,6
Broncos,,,,,
,18,14,0,8,6
Browns,,,,,
,12,8,1,4,5
Buccaneers,,,,,
,13,9,2,5,3
Cardinals,,,,,
,7,7,1,3,6
Chargers,,,,,
,23,12,1,3,6
Chiefs,,,,,
,15,11,0,7,5
Colts,,,,,
,14,11,1,5,7
Cowboys,,,,,
,11,7,0,7,3
Dolphins,,,,,
,12,7,0,3,6
Eagles,,,,,
,8,4,1,1,10
Falcons,,,,,
,11,5,0,4,7
Giants,,,,,
,7,6,0,0,5
Jaguars,,,,,
,13,7,0,3,4
Jets,,,,,
,10,7,0,2,5
Lions,,,,,
,10,8,0,3,6
Packers,,,,,
,13,9,1,2,9
Panthers,,,,,
,14,10,1,5,8
Patriots,,,,,
,5,3,0,1,6
Raiders,,,,,
,13,12,1,2,4
Rams,,,,,
,9,5,3,4,2
Ravens,,,,,
Redskins,19,11,1,9,3
,19,12,0,9,4
Saints,,,,,
,18,14,1,5,7
Seahawks,,,,,
,13,7,1,2,5
Steelers,,,,,
,20,14,1,6,6
Texans,,,,,
,12,6,0,4,2
Titans,,,,,
,8,8,2,1,12
Vikings,,,,,
