Team,FF,FR,FR TD,Rec FUM,Rush FUM
,13,7,0,4,4
49ers,,,,,
,23,14,0,6,15
Bears,,,,,
,12,10,1,5,8
Bengals,,,,,
,15,11,1,4,10
Bills,,,,,
,13,8,1,1,13
Broncos,,,,,
,9,9,1,1,4
Browns,,,,,
,12,9,0,2,7
Buccaneers,,,,,
,13,13,4,4,10
Cardinals,,,,,
,11,6,0,5,2
Chargers,,,,,
,18,9,0,2,9
Chiefs,,,,,
,12,11,1,5,7
Colts,,,,,
,14,10,1,3,9
Cowboys,,,,,
,13,8,1,1,4
Dolphins,,,,,
,11,11,1,2,7
Eagles,,,,,
,14,9,1,4,8
Falcons,,,,,
,34,23,0,9,5
Giants,,,,,
,8,5,0,4,4
Jaguars,,,,,
,17,18,0,2,12
Jets,,,,,
,21,15,1,8,8
Lions,,,,,
,15,8,1,5,6
Packers,,,,,
,14,12,0,5,9
Panthers,,,,,
,11,13,1,3,9
Patriots,,,,,
,15,12,1,2,6
Raiders,,,,,
,23,12,0,5,5
Rams,,,,,
,15,8,0,7,10
Ravens,,,,,
Redskins,19,13,1,6,7
,25,16,0,10,8
Saints,,,,,
,16,10,0,4,7
Seahawks,,,,,
,24,14,0,4,5
Steelers,,,,,
,11,5,0,3,5
Texans,,,,,
,17,8,0,3,11
Titans,,,,,
,12,10,1,3,7
Vikings,,,,,
