Team,FF,FR,FR TD,Rec FUM,Rush FUM
,10,6,1,3,4
49ers,,,,,
,18,10,0,8,5
Bears,,,,,
,7,6,0,0,7
Bengals,,,,,
,14,11,1,5,6
Bills,,,,,
,15,7,1,11,3
Broncos,,,,,
,15,8,1,3,6
Browns,,,,,
,16,11,0,5,8
Buccaneers,,,,,
,9,7,1,4,4
Cardinals,,,,,
,16,11,3,3,10
Chargers,,,,,
,13,7,0,2,4
Chiefs,,,,,
,21,14,1,7,9
Colts,,,,,
,15,13,1,9,2
Cowboys,,,,,
,13,11,1,2,7
Dolphins,,,,,
,24,16,2,4,10
Eagles,,,,,
,13,12,1,5,5
Falcons,,,,,
,15,8,1,1,10
Giants,,,,,
,19,14,2,5,4
Jaguars,,,,,
,9,7,0,3,5
Jets,,,,,
,11,7,1,4,6
Lions,,,,,
,12,9,1,2,11
Packers,,,,,
,22,12,0,8,6
Panthers,,,,,
,15,9,2,5,6
Patriots,,,,,
,12,5,1,2,7
Raiders,,,,,
,17,12,0,5,13
Rams,,,,,
,16,11,0,6,8
Ravens,,,,,
Redskins,14,12,0,3,12
,11,5,0,5,5
Saints,,,,,
,18,10,0,7,10
Seahawks,,,,,
,12,10,1,4,9
Steelers,,,,,
,17,14,1,7,8
Texans,,,,,
,5,4,1,2,2
Titans,,,,,
,9,6,1,5,3
Vikings,,,,,
