Team,FF,FR,FR TD,Rec FUM,Rush FUM
,13,8,0,7,8
49ers,,,,,
,15,8,1,4,6
Bears,,,,,
,10,6,0,6,4
Bengals,,,,,
,15,11,1,5,5
Bills,,,,,
,12,6,0,4,6
Broncos,,,,,
,17,10,0,4,12
Browns,,,,,
,15,10,0,4,5
Buccaneers,,,,,
,15,10,0,1,5
Cardinals,,,,,
,6,7,0,2,8
Chargers,,,,,
,13,6,0,8,1
Chiefs,,,,,
,14,10,0,6,4
Colts,,,,,
,16,12,2,2,9
Cowboys,,,,,
,16,10,2,5,5
Dolphins,,,,,
,14,11,1,3,5
Eagles,,,,,
,17,9,0,4,8
Falcons,,,,,
,14,7,1,1,7
Football Team,,,,,
,14,11,1,8,10
Giants,,,,,
,12,5,0,4,4
Jaguars,,,,,
,17,9,0,4,11
Jets,,,,,
,15,5,0,7,5
Lions,,,,,
,12,7,1,5,3
Packers,,,,,
,14,15,3,3,6
Panthers,,,,,
,5,4,1,2,2
Patriots,,,,,
,8,5,0,3,2
Raiders,,,,,
,12,8,1,1,7
Rams,,,,,
,25,12,3,11,7
Ravens,,,,,
,7,8,0,0,7
Saints,,,,,
,14,8,0,2,6
Seahawks,,,,,
,13,9,0,4,6
Steelers,,,,,
,9,6,0,1,4
Texans,,,,,
,12,8,1,5,10
Titans,,,,,
,11,7,0,2,5
Vikings,,,,,
