Team,Sck,Comb,Asst,Solo
,41,1045,242,741
49ers,,,,
,44,1017,205,791
Bears,,,,
,46,1118,408,662
Bengals,,,,
,30,1038,295,630
Bills,,,,
,21,1099,249,797
Broncos,,,,
,36,1052,336,660
Browns,,,,
,26,945,206,675
Buccaneers,,,,
,58,987,226,721
Cardinals,,,,
,49,1079,260,659
Chargers,,,,
,40,1005,172,795
Chiefs,,,,
,41,994,233,756
Colts,,,,
,36,1023,244,723
Cowboys,,,,
,37,953,203,709
Dolphins,,,,
,48,1015,178,791
Eagles,,,,
,28,1032,273,704
Falcons,,,,
,20,1080,330,572
Giants,,,,
,50,927,184,717
Jaguars,,,,
,47,1062,332,700
Jets,,,,
,29,1049,245,769
Lions,,,,
,51,1104,282,718
Packers,,,,
,36,975,252,691
Panthers,,,,
,27,1219,383,797
Patriots,,,,
,27,992,215,716
Raiders,,,,
,35,948,161,748
Rams,,,,
,38,1099,259,709
Ravens,,,,
Redskins,33,1171,433,639
,26,1047,315,693
Saints,,,,
,33,1118,408,652
Seahawks,,,,
,37,1092,336,652
Steelers,,,,
,28,1090,224,832
Texans,,,,
,39,964,250,680
Titans,,,,
,32,1048,298,712
Vikings,,,,
