Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
,210,82,11,6,199,53.1,128,25.4,1081
49ers,,,,,,,,,
,201,89,12,5,182,56.5,103,23.8,980
Bears,,,,,,,,,
,218,86,20,9,202,48.7,74,21.5,1032
Bengals,,,,,,,,,
,210,85,13,3,197,56.8,87,22.1,1017
Bills,,,,,,,,,
,227,80,14,5,162,47.1,81,19.9,1033
Broncos,,,,,,,,,
,203,81,15,10,186,57.8,104,22.7,998
Browns,,,,,,,,,
,211,97,6,4,208,55,104,22.3,1044
Buccaneers,,,,,,,,,
,210,75,17,8,177,51.6,79,21.2,982
Cardinals,,,,,,,,,
,195,74,8,7,170,51.8,101,24.2,959
Chargers,,,,,,,,,
,217,72,27,13,193,55.3,86,22.5,1037
Chiefs,,,,,,,,,
,227,89,14,10,210,59.3,89,19.7,1072
Colts,,,,,,,,,
,208,81,10,5,172,52.1,113,24.5,998
Cowboys,,,,,,,,,
,221,96,12,4,203,58,112,22.3,1075
Dolphins,,,,,,,,,
,231,99,9,6,239,60.7,100,20.9,1148
Eagles,,,,,,,,,
,191,82,15,5,197,53.2,107,25.7,996
Falcons,,,,,,,,,
,230,108,14,8,236,55.8,104,23.4,1105
Giants,,,,,,,,,
,227,105,12,6,222,56.9,102,22,1102
Jaguars,,,,,,,,,
,232,77,23,13,185,53.9,62,16.6,1013
Jets,,,,,,,,,
,200,82,8,5,191,53.1,96,22.4,999
Lions,,,,,,,,,
,220,79,21,10,183,57,96,22.9,1014
Packers,,,,,,,,,
,227,86,26,15,198,50.8,74,20.3,1058
Panthers,,,,,,,,,
,225,84,18,8,204,56.5,77,19.4,1042
Patriots,,,,,,,,,
,224,84,17,9,206,51,94,23.2,1085
Raiders,,,,,,,,,
,225,78,15,4,192,48.1,98,21.6,1091
Rams,,,,,,,,,
,216,86,9,4,189,54,80,19.1,1000
Ravens,,,,,,,,,
Redskins,207,78,20,11,202,57.1,103,25.4,1010
,176,71,13,10,223,59.9,103,24.5,996
Saints,,,,,,,,,
,195,67,7,1,175,52.6,71,19.6,947
Seahawks,,,,,,,,,
,225,90,24,7,231,57.5,71,18.6,1055
Steelers,,,,,,,,,
,214,61,12,7,173,53.1,79,20.4,986
Texans,,,,,,,,,
,216,92,12,4,192,60.2,101,21.9,1003
Titans,,,,,,,,,
,206,71,22,11,189,52.6,94,22.9,1015
Vikings,,,,,,,,,
