Team,INT,INT TD,INT Yds,Lng
,23,2,315,73
49ers,,,,
,14,1,141,45T
Bears,,,,
,20,1,161,31
Bengals,,,,
,19,0,322,45
Bills,,,,
,18,2,213,38
Broncos,,,,
,21,2,333,62T
Browns,,,,
,14,3,155,33T
Buccaneers,,,,
,18,3,321,88T
Cardinals,,,,
,7,0,65,27
Chargers,,,,
,6,1,95,39T
Chiefs,,,,
,12,1,143,47T
Colts,,,,
,18,2,228,58T
Cowboys,,,,
,14,2,299,81T
Dolphins,,,,
,12,2,145,53T
Eagles,,,,
,16,1,113,23T
Falcons,,,,
,17,0,236,39
Giants,,,,
,6,1,80,55T
Jaguars,,,,
,6,0,36,25
Jets,,,,
,20,1,388,70
Lions,,,,
,18,3,396,82T
Packers,,,,
,14,2,350,84T
Panthers,,,,
,16,0,184,60
Patriots,,,,
,9,0,76,30
Raiders,,,,
,13,3,276,99T
Rams,,,,
,11,1,135,44T
Ravens,,,,
Redskins,7,0,38,14
,12,0,120,45
Saints,,,,
,13,2,319,53
Seahawks,,,,
,11,4,242,52T
Steelers,,,,
,20,4,483,80T
Texans,,,,
,12,1,122,34
Titans,,,,
,13,2,201,81T
Vikings,,,,
