Team,INT,INT TD,INT Yds,Lng
,10,0,96,39
49ers,,,,
,8,1,73,25
Bears,,,,
,17,0,138,47
Bengals,,,,
,12,1,207,49
Bills,,,,
,14,3,367,51T
Broncos,,,,
,10,1,146,67
Browns,,,,
,17,4,234,53
Buccaneers,,,,
,14,2,263,66T
Cardinals,,,,
,18,3,292,90T
Chargers,,,,
,18,4,271,55T
Chiefs,,,,
,8,0,100,56
Colts,,,,
,9,0,75,27
Cowboys,,,,
,16,1,186,60T
Dolphins,,,,
,16,3,207,64T
Eagles,,,,
,12,3,279,90T
Falcons,,,,
,17,1,174,44T
Giants,,,,
,7,1,104,35
Jaguars,,,,
,8,0,141,51
Jets,,,,
,10,1,96,39T
Lions,,,,
,17,0,209,44
Packers,,,,
,17,1,204,37
Panthers,,,,
,13,0,109,46
Patriots,,,,
,16,1,147,40
Raiders,,,,
,10,0,71,29
Rams,,,,
,18,0,178,53
Ravens,,,,
Redskins,13,0,186,79
,9,0,109,30
Saints,,,,
,11,0,72,31
Seahawks,,,,
,13,0,133,58
Steelers,,,,
,11,1,132,42T
Texans,,,,
,12,0,68,33
Titans,,,,
,14,2,253,100T
Vikings,,,,
