Team,INT,INT TD,INT Yds,Lng
,18,2,278,89T
49ers,,,,
,19,5,428,49
Bears,,,,
,20,4,200,60T
Bengals,,,,
,23,2,289,57
Bills,,,,
,17,1,141,75T
Broncos,,,,
,14,3,274,44T
Browns,,,,
,21,3,338,85T
Buccaneers,,,,
,20,4,251,43
Cardinals,,,,
,11,1,143,41
Chargers,,,,
,21,5,488,100T
Chiefs,,,,
,15,1,186,46
Colts,,,,
,15,2,257,74
Cowboys,,,,
,18,2,204,94T
Dolphins,,,,
,19,1,294,76
Eagles,,,,
,10,2,176,71T
Falcons,,,,
,17,2,270,91
Giants,,,,
,11,1,172,59T
Jaguars,,,,
,13,1,167,38
Jets,,,,
,15,1,211,66T
Lions,,,,
,11,0,36,11
Packers,,,,
,20,4,234,45T
Panthers,,,,
,17,2,220,79T
Patriots,,,,
,9,1,83,43T
Raiders,,,,
,14,2,256,98T
Rams,,,,
,16,1,160,37T
Ravens,,,,
Redskins,16,4,247,45T
,12,0,169,43
Saints,,,,
,28,3,385,58T
Seahawks,,,,
,10,3,203,40T
Steelers,,,,
,7,1,86,32
Texans,,,,
,13,1,113,34
Titans,,,,
,12,0,78,30
Vikings,,,,
