Team,INT,INT TD,INT Yds,Lng
,15,3,239,62T
49ers,,,,
,21,1,332,56
Bears,,,,
,16,1,200,56
Bengals,,,,
,11,2,210,56
Bills,,,,
,10,0,118,36
Broncos,,,,
,19,2,320,64T
Browns,,,,
,19,3,339,64
Buccaneers,,,,
,17,3,424,66T
Cardinals,,,,
,16,3,240,41T
Chargers,,,,
,14,3,204,54T
Chiefs,,,,
,10,2,206,44
Colts,,,,
,20,3,302,101T
Cowboys,,,,
,11,0,66,21
Dolphins,,,,
,23,1,182,40T
Eagles,,,,
,22,2,337,40
Falcons,,,,
,16,0,110,36
Giants,,,,
,13,0,105,47
Jaguars,,,,
,12,3,214,66
Jets,,,,
,14,2,194,42T
Lions,,,,
,24,3,318,64
Packers,,,,
,17,1,285,66
Panthers,,,,
,25,4,419,59T
Patriots,,,,
,12,2,105,30T
Raiders,,,,
,14,0,161,34
Rams,,,,
,19,3,289,44
Ravens,,,,
Redskins,14,1,199,92T
,9,2,196,96T
Saints,,,,
,12,2,168,34
Seahawks,,,,
,21,3,248,79T
Steelers,,,,
,13,0,90,23
Texans,,,,
,17,1,198,41T
Titans,,,,
,15,1,152,41
Vikings,,,,
