Team,FF,FR,FR TD,Rec FUM,Rush FUM
,17,10,0,5,10
49ers,,,,,
,14,14,1,4,8
Bears,,,,,
,4,2,0,1,4
Bengals,,,,,
,16,7,2,7,5
Bills,,,,,
,8,7,2,3,4
Broncos,,,,,
,14,6,0,7,5
Browns,,,,,
,18,13,3,5,9
Buccaneers,,,,,
,17,6,1,3,7
Cardinals,,,,,
,13,9,1,3,5
Chargers,,,,,
,12,10,3,6,4
Chiefs,,,,,
,11,7,0,4,10
Colts,,,,,
,20,10,0,3,6
Cowboys,,,,,
,9,6,2,1,9
Dolphins,,,,,
,14,11,4,3,3
Eagles,,,,,
,12,8,2,0,8
Falcons,,,,,
,12,6,0,4,3
Giants,,,,,
,17,12,5,1,8
Jaguars,,,,,
,9,9,0,5,9
Jets,,,,,
,16,13,2,5,8
Lions,,,,,
,10,10,1,3,6
Packers,,,,,
,15,11,1,4,1
Panthers,,,,,
,9,5,0,4,6
Patriots,,,,,
,12,9,0,2,6
Raiders,,,,,
,17,10,0,3,8
Rams,,,,,
,16,12,2,4,5
Ravens,,,,,
Redskins,12,7,0,2,8
,17,5,1,4,5
Saints,,,,,
,13,9,1,1,8
Seahawks,,,,,
,12,6,0,5,4
Steelers,,,,,
,13,5,2,2,4
Texans,,,,,
,11,9,1,5,9
Titans,,,,,
,8,5,0,1,4
Vikings,,,,,
