Team,Sck,Comb,Asst,Solo
,39,1084,371,664
49ers,,,,
,36,1066,341,708
Bears,,,,
,48,1062,335,676
Bengals,,,,
,27,1082,318,680
Bills,,,,
,32,993,315,645
Broncos,,,,
,26,1105,405,643
Browns,,,,
,22,1011,339,637
Buccaneers,,,,
,29,1102,306,744
Cardinals,,,,
,34,1211,456,689
Chargers,,,,
,24,1037,316,693
Chiefs,,,,
,21,1140,339,664
Colts,,,,
,44,1118,342,750
Cowboys,,,,
,34,1046,306,686
Dolphins,,,,
,65,990,274,693
Eagles,,,,
,41,1038,293,720
Falcons,,,,
,50,1073,344,711
Football Team,,,,
,50,1011,324,637
Giants,,,,
,44,986,337,612
Jaguars,,,,
,43,979,320,599
Jets,,,,
,42,972,297,636
Lions,,,,
,21,1021,317,643
Packers,,,,
,36,1046,362,656
Panthers,,,,
,37,1058,286,682
Patriots,,,,
,28,1067,364,673
Raiders,,,,
,25,1127,325,735
Rams,,,,
,32,1059,344,669
Ravens,,,,
,29,1141,392,737
Saints,,,,
,48,1044,320,682
Seahawks,,,,
,14,1065,325,659
Steelers,,,,
,50,968,273,638
Texans,,,,
,25,1115,358,661
Titans,,,,
,39,1097,406,661
Vikings,,,,
