Team,FF,FR,FR TD,Rec FUM,Rush FUM
,5,3,0,3,4
49ers,,,,,
,6,9,0,3,6
Bears,,,,,
,10,7,0,3,4
Bengals,,,,,
,9,8,1,1,4
Bills,,,,,
,22,13,1,10,4
Broncos,,,,,
,14,10,0,5,6
Browns,,,,,
,19,12,2,7,9
Buccaneers,,,,,
,22,14,2,4,12
Cardinals,,,,,
,11,9,0,1,7
Chargers,,,,,
,13,7,2,0,7
Chiefs,,,,,
,13,8,1,3,10
Colts,,,,,
,6,3,0,3,2
Cowboys,,,,,
,8,3,0,1,3
Dolphins,,,,,
,18,11,1,7,3
Eagles,,,,,
,12,8,2,4,7
Falcons,,,,,
,18,12,2,8,11
Giants,,,,,
,14,9,2,2,4
Jaguars,,,,,
,15,12,0,0,8
Jets,,,,,
,17,9,1,5,7
Lions,,,,,
,12,6,0,3,8
Packers,,,,,
,22,15,0,7,9
Panthers,,,,,
,22,9,2,6,6
Patriots,,,,,
,14,11,0,8,2
Raiders,,,,,
,20,13,2,9,9
Rams,,,,,
,8,8,1,3,7
Ravens,,,,,
Redskins,22,15,1,10,13
,18,13,1,2,15
Saints,,,,,
,18,8,3,3,9
Seahawks,,,,,
,16,13,0,6,12
Steelers,,,,,
,12,11,1,2,5
Texans,,,,,
,11,8,1,0,3
Titans,,,,,
,11,9,1,2,6
Vikings,,,,,
